,Minisector,Lap,Compound,TyreLife,Speed,Distance,Piting,TrackStatus,Driver,LapTime,Speed-1
459,7,8,0,9.0,167.20987654320987,47344.291388888916,0.0,0.0,2,83.35,312.0
460,8,8,1,3.0,255.0,47764.98388888891,0.0,0.0,0,83.189,165.62962962962962
461,8,8,1,3.0,256.25,47771.406944444476,0.0,0.0,1,83.185,169.75
462,8,8,1,3.0,253.82692307692307,47763.18583333336,0.0,0.0,5,83.246,165.075
463,8,8,1,4.0,103.4453125,47768.67555555558,0.0,0.0,7,140.478,103.78030303030303
464,8,8,0,3.0,253.41509433962264,47766.31416666669,0.0,0.0,8,83.428,167.0
465,8,8,0,3.0,190.20289855072463,47765.79638888892,0.0,0.0,9,106.062,135.72
466,8,8,0,4.0,253.14,47759.510555555586,0.0,0.0,3,83.628,165.1038961038961
467,8,8,0,9.0,253.55769230769232,47766.972500000025,0.0,0.0,2,83.35,167.20987654320987
468,9,8,1,3.0,309.86046511627904,48191.5402777778,0.0,0.0,0,83.189,255.0
469,9,8,1,3.0,306.5581395348837,48192.98055555559,0.0,0.0,1,83.185,256.25
470,9,8,1,3.0,305.34090909090907,48191.43166666669,0.0,0.0,5,83.246,253.82692307692307
471,9,8,1,4.0,211.61904761904762,48192.08138888892,0.0,0.0,7,140.478,103.4453125
472,9,8,0,3.0,306.3953488372093,48195.92805555558,0.0,0.0,8,83.428,253.41509433962264
473,9,8,0,3.0,227.35593220338984,48193.86194444448,0.0,0.0,9,106.062,190.20289855072463
474,9,8,0,4.0,301.1111111111111,48195.425000000025,0.0,0.0,3,83.628,253.14
475,9,8,0,9.0,307.72093023255815,48184.89722222225,0.0,0.0,2,83.35,253.55769230769232
476,10,8,1,3.0,216.43548387096774,48617.9677777778,0.0,0.0,0,83.189,309.86046511627904
477,10,8,1,3.0,219.28333333333333,48606.51222222225,0.0,0.0,1,83.185,306.5581395348837
478,10,8,1,3.0,216.49180327868854,48613.667500000025,0.0,0.0,5,83.246,305.34090909090907
479,10,8,1,4.0,108.19672131147541,48611.68361111114,0.0,0.0,7,140.478,211.61904761904762
480,10,8,0,3.0,222.66666666666666,48618.60472222225,0.0,0.0,8,83.428,306.3953488372093
481,10,8,0,3.0,153.72941176470587,48616.06250000004,0.0,0.0,9,106.062,227.35593220338984
482,10,8,0,4.0,215.2622950819672,48615.481666666696,0.0,0.0,3,83.628,301.1111111111111
483,10,8,0,9.0,218.1639344262295,48617.17527777781,0.0,0.0,2,83.35,307.72093023255815
