,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
290,0 days 00:25:21.814000,6,0 days 00:01:25.010000,3,1,,,0 days 00:00:17.405000,0 days 00:00:36.777000,0 days 00:00:30.828000,0 days 00:24:14.209000,0 days 00:24:50.986000,0 days 00:25:21.814000,288.0,317.0,219.0,322.0,False,SOFT,4.0,True,0 days 00:23:56.804000,Williams,LAT,1,True,2021-12-11 13:08:56.988
291,0 days 00:31:57.654000,6,,4,2,,0 days 00:27:06.188000,0 days 00:00:20.106000,0 days 00:00:41.188000,,0 days 00:25:42.045000,0 days 00:26:23.140000,,261.0,250.0,,291.0,False,SOFT,1.0,True,0 days 00:25:21.814000,Williams,LAT,5,False,2021-12-11 13:10:21.998
292,0 days 00:34:21.154000,6,,5,2,0 days 00:31:57.654000,,,0 days 00:00:50.079000,0 days 00:00:59.528000,,0 days 00:33:21.633000,0 days 00:34:21.379000,277.0,247.0,223.0,311.0,False,SOFT,2.0,True,0 days 00:31:57.654000,Williams,LAT,1,False,2021-12-11 13:16:57.838
293,0 days 00:35:45.492000,6,0 days 00:01:24.338000,1,2,,,0 days 00:00:17.281000,0 days 00:00:36.465000,0 days 00:00:30.592000,0 days 00:34:38.435000,0 days 00:35:14.900000,0 days 00:35:45.492000,289.0,318.0,222.0,322.0,True,SOFT,3.0,True,0 days 00:34:21.154000,Williams,LAT,1,True,2021-12-11 13:19:21.338
294,0 days 00:37:35.829000,6,0 days 00:01:50.337000,2,2,,0 days 00:37:34.060000,0 days 00:00:20.580000,0 days 00:00:44.755000,0 days 00:00:45.002000,0 days 00:36:06.072000,0 days 00:36:50.827000,0 days 00:37:35.829000,254.0,237.0,,258.0,False,SOFT,4.0,True,0 days 00:35:45.492000,Williams,LAT,1,False,2021-12-11 13:20:45.676
295,0 days 00:20:05.949000,63,,3,1,0 days 00:18:14.528000,,,0 days 00:00:43.923000,0 days 00:00:45.170000,,0 days 00:19:20.907000,0 days 00:20:06.195000,264.0,188.0,223.0,292.0,False,SOFT,1.0,True,0 days 00:18:14.528000,Williams,RUS,1,False,2021-12-11 13:03:14.712
296,0 days 00:21:30.565000,63,0 days 00:01:24.616000,1,1,,,0 days 00:00:17.229000,0 days 00:00:36.401000,0 days 00:00:30.986000,0 days 00:20:23.178000,0 days 00:20:59.579000,0 days 00:21:30.565000,291.0,320.0,223.0,325.0,False,SOFT,2.0,True,0 days 00:20:05.949000,Williams,RUS,1,True,2021-12-11 13:05:06.133
297,0 days 00:23:38.532000,63,0 days 00:02:07.967000,2,1,,,0 days 00:00:27.096000,0 days 00:00:49.901000,0 days 00:00:50.970000,0 days 00:21:57.661000,0 days 00:22:47.562000,0 days 00:23:38.532000,236.0,116.0,226.0,267.0,False,SOFT,3.0,True,0 days 00:21:30.565000,Williams,RUS,1,True,2021-12-11 13:06:30.749
298,0 days 00:25:02.955000,63,0 days 00:01:24.423000,3,1,,,0 days 00:00:17.130000,0 days 00:00:36.527000,0 days 00:00:30.766000,0 days 00:23:55.662000,0 days 00:24:32.189000,0 days 00:25:02.955000,290.0,319.0,222.0,323.0,True,SOFT,4.0,True,0 days 00:23:38.532000,Williams,RUS,1,True,2021-12-11 13:08:38.716
299,0 days 00:33:12.388000,63,,1,2,,0 days 00:26:49.414000,0 days 00:00:19.948000,0 days 00:00:42.606000,,0 days 00:25:22.907000,0 days 00:26:05.516000,,261.0,225.0,,280.0,False,SOFT,1.0,True,0 days 00:25:02.955000,Williams,RUS,5,False,2021-12-11 13:10:03.139
300,0 days 00:35:09.876000,63,,2,2,0 days 00:33:12.388000,,,0 days 00:00:42.710000,0 days 00:00:53.094000,,0 days 00:34:16.792000,0 days 00:35:10.077000,271.0,228.0,225.0,308.0,False,SOFT,,True,0 days 00:33:12.388000,Williams,RUS,1,False,2021-12-11 13:18:12.572
301,0 days 00:36:46.363000,63,0 days 00:01:36.487000,3,2,,0 days 00:36:45.197000,0 days 00:00:17.252000,0 days 00:00:36.775000,0 days 00:00:42.460000,0 days 00:35:27.128000,0 days 00:36:03.903000,0 days 00:36:46.363000,293.0,320.0,,325.0,False,SOFT,,True,0 days 00:35:09.876000,Williams,RUS,1,False,2021-12-11 13:20:10.060
302,0 days 00:17:38.349000,7,,1,1,0 days 00:15:41.005000,,,0 days 00:00:44.707000,0 days 00:00:49.475000,,0 days 00:16:48.874000,0 days 00:17:38.579000,257.0,150.0,222.0,260.0,False,SOFT,1.0,True,0 days 00:15:41.005000,Alfa Romeo Racing,RAI,1,False,2021-12-11 13:00:41.189
303,0 days 00:19:22.955000,7,0 days 00:01:44.606000,2,1,,,0 days 00:00:17.311000,0 days 00:00:47.052000,0 days 00:00:40.243000,0 days 00:17:55.660000,0 days 00:18:42.712000,0 days 00:19:22.955000,287.0,227.0,223.0,119.0,False,SOFT,2.0,True,0 days 00:17:38.349000,Alfa Romeo Racing,RAI,1,True,2021-12-11 13:02:38.533
304,0 days 00:20:47.734000,7,0 days 00:01:24.779000,3,1,,,0 days 00:00:17.315000,0 days 00:00:36.523000,0 days 00:00:30.941000,0 days 00:19:40.270000,0 days 00:20:16.793000,0 days 00:20:47.734000,288.0,319.0,220.0,322.0,True,SOFT,3.0,True,0 days 00:19:22.955000,Alfa Romeo Racing,RAI,1,True,2021-12-11 13:04:23.139
305,0 days 00:22:39.333000,7,0 days 00:01:51.599000,1,2,,0 days 00:22:38.104000,0 days 00:00:21.119000,0 days 00:00:48.707000,0 days 00:00:41.773000,0 days 00:21:08.853000,0 days 00:21:57.560000,0 days 00:22:39.333000,251.0,210.0,,249.0,False,SOFT,1.0,True,0 days 00:20:47.734000,Alfa Romeo Racing,RAI,1,False,2021-12-11 13:05:47.918
